search_order,company_name,phone,email,address,legal_representative,registered_capital,established_date,business_scope,search_time,success
1,东莞市千曜刺绣材料有限公司,0769-26621833,13431521168@139.com,也變更到余屋商業街11號301室,叫劉書華,,,,2025-07-10 18:52:56,Yes
2,深圳市乐高天科技有限公司,18038028100,accounting-1@rokotech.com; rokotech@vip.163.com,且来自高可信度的工商信息；而‌3提到的福永镇地址可能是旧地址,,,,,2025-07-10 18:53:43,Yes
3,无锡腾方装饰材料有限公司,400-8798-128,472985328@qq.com,‌曾用地址‌：无锡市惠山区堰新路328号（早期注册地）‌45,,,,,2025-07-10 18:54:30,Yes
4,厦门童话岛游乐设备有限公司,0592-2087679,18760368528@187.com; 513509958@qq.com,的结果都指向厦门市思明区会展北里16号2003室,‌：洪德强,,,,2025-07-10 18:55:17,Yes
5,东莞市麦通磁铁有限公司,0086-769-82009968,3375657119@qq.com; ref2356@qq.com,中国 广东 东莞市 凤岗镇三联村联盛工业区A栋,,,,,2025-07-10 18:56:04,Yes
6,杭州精诚三和定时器实业有限公司,0571-89193088,jc_timer@vip.163.com; timer@jc-timer.com,‌：浙江省杭州市余杭区仁和街道仁良路286号 ‌24,‌：池汉军,,,,2025-07-10 18:56:52,Yes
7,青岛淘乐园家居用品有限公司,0532-88916373,eurowind3@163.com; eurowind1@163.com,"在‌1、‌2、‌3等多处都提到是""青岛市李沧区振华路149号1号楼1单元802""",信息,,,,2025-07-10 18:57:39,Yes
8,宁海久丰文具有限公司,13968352364,634562488@qq.com,是浙江省宁波市宁海县西店镇滨海工业区园三路8号,、股东,,,,2025-07-10 18:58:26,Yes
9,宁波市镇海慧乐教育用品有限公司,0574-87607819,info@huilegroup.cn,宁波市镇海区骆驼工业区南一西路269号,,,,,2025-07-10 18:59:13,Yes
10,北京春秋科技有限公司,010-83671322,,"""北京市北京经济技术开发区地盛北街1号院38号楼406室""（多个来源交叉验证）‌23",徐欣（该主体已终,,,,2025-07-10 19:00:00,Yes
11,欧立夫（宁波）教育用品有限公司,0574-86997399,winston.xie@olifu.com.cn; 12345678910@qq.com,"信息非常统一：所有9条结果都提到""宁波市北仑区新碶南海路9-27号4幢1号3楼""",代表谢勤勇可能更,,,,2025-07-10 19:00:47,Yes
12,上海申东外语书店,021-65113579,291989940@qq.com; shendong_books@hotmail.com,‌：上海市宝山区殷高路65号2幢107室（2017年10月起使用） ‌34,,,,,2025-07-10 19:01:34,Yes
13,丹阳巧赢玩具有限公司,0511-80307886,108479696@qq.com,‌：江苏省镇江市丹阳市开发区前艾振前路99号‌12,‌：荆华英‌45,,,,2025-07-10 19:02:21,Yes
14,陕西省安康市政府毛绒玩具参展团,0915-3212281,,但背后可能隐藏着实际需求——用户可能是企业想寻求合作,,,,,2025-07-10 19:03:09,Yes
15,广东德信模钢实业有限公司,0754-85739316,289480339@qq.com; dxmsales@gddxmg.com,多个来源都指向汕头市澄海区凤翔街道凤新工业区‌36,的直接联系方式,,,,2025-07-10 19:03:56,Yes
16,伊佳林文化产业股份有限公司,021-62788351,dengcy@emf.com.cn,信息很统一：平湖市经济开发区永兴路1000号经开大厦1310室在‌16中反复出现,,,,,2025-07-10 19:04:43,Yes
17,艾赐魔袋贸易（上海）有限公司深圳分公司,0755-21612687,724252614@qq.com,是深圳市南山区粤海街道科技园社区科苑路16号东方科技大厦1763,代表是谁？,,,,2025-07-10 19:05:30,Yes
18,大连西海岸科技有限公司,13942057680,,辽宁省大连经济技术开发区辽河东路9号601-170,王世勇的联系方式,,,,2025-07-10 19:06:18,Yes
19,上海顺途实业有限公司,121356428,,在不同来源中出现了两个版本：‌1提到的上海市宝山区高逸路112-118号3幢7348室应该是当前地址,吕学杰的联系电话,,,,2025-07-10 19:07:05,Yes
20,卡乐咪体育发展（上海）有限公司,,franchise@color-me.com.cn; jane@color-me.com.cn,但镇宁路465弄161号3号楼132室出现频率最高且来源可信,的拼音全称,,,,2025-07-10 19:07:53,Yes
21,江苏金龟子科教设备有限公司,+86-514-88621199,jsjgzgrass@163.com,"所有可信来源都一致显示为""宝应县曹甸镇工业集中区二环路""‌12",,,,,2025-07-10 19:08:40,Yes
22,Handelsonderneming HAVO BV,0031-34565281,,线索：荷兰贸易公司地址集中在中小城市（如Standdaarbuiten、Nijkerk、Elst）,,,,,2025-07-10 19:09:27,Yes
23,温岭市康瑞塑料制品厂,18858652255,13606869455@163.com; 18858652255@163.com,‌：浙江省台州市温岭市新河镇工业园区（或具体表述为“新河镇坦头机械工业集聚点”）‌12,‌：李锡林‌21,,,,2025-07-10 19:10:14,Yes
24,上海稚子园教育科技有限公司,,,是上海市松江区乐都路358号501室,、经营范围等,,,,2025-07-10 19:11:01,Yes
25,温州芈一实业有限公司,,qirongrong@126.com,温州芈一实业有限公司 聯絡資料,或联系人（来自‌,,,,2025-07-10 19:11:48,Yes
26,河山（天津）动漫文化有限公司,1074333962,yellowmountainfilm@126.com; 1074333962@qq.com,河山(天津)动漫文化有限公司-企业工商信用信息,是叶江天,,,,2025-07-10 19:12:36,Yes
27,温州元优玩具有限公司,13587735570,13587735570@qq.com,‌: 浙江省温州市永嘉县桥下镇桥下村西市路1弄15号 ‌23,‌8,,,,2025-07-10 19:13:23,Yes
28,ADEX srl,,,该记录显示企业地址为Via Cesare Battisti 63/A,,,,,2025-07-10 19:14:10,Yes
29,滨州绳网部落游乐设备有限公司,0543-3806677,272916568@qq.com,山东省滨州市惠民县李庄镇李朝阳村（大桥路以东）,李基涛‌1,,,,2025-07-10 19:14:57,Yes
30,浙江宁乐游乐设备有限公司,13738395308,2854423@qq.com; info@landrollplay.com,浙江宁乐游乐设备有限公司建设项目竣工环境保护验收公示,也有公开的联系电,,,,2025-07-10 19:15:44,Yes
31,骅星科技发展有限公司,1375153004,1375153004@qq.com,"所有结果一致指向""汕头市澄海区玉亭路与文华南路交界处""（‌12）",,,,,2025-07-10 19:16:31,Yes
32,广东牧童实业有限公司,18620686887,lisan0228@126.com,主要有两个版本：‌1提到广州市萝岗区九龙工业园凤凰一横路313号,,,,,2025-07-10 19:17:18,Yes
33,上海彩蜂实业有限公司,79898240,79898240@qq.com,在上海市青浦区沪青平公路5251号二楼F区211室,为田永康,,,,2025-07-10 19:18:06,Yes
34,霍尔果斯巨匠传媒有限公司,91654004,,新疆伊犁哈萨克自治州霍尔果斯市天津路8号苏新公社公寓4号楼205-2室,、财务负责人、执,,,,2025-07-10 19:18:53,Yes
35,浙江恩留工贸有限公司,18258128643,13858918544@qq.com,在搜索结果里有明确分歧：早期资料显示在金华永康市前仓镇后吴村‌12,姓名很统一,,,,2025-07-10 19:19:40,Yes
36,北京骏达隆教育科技有限公司,,,"为""北京市朝阳区利泽西园209号楼2层213""",,,,,2025-07-10 19:20:27,Yes
37,浙江创绿诗游乐设备有限公司,0578-6891021,,浙江省丽水市青田县温溪镇安定东路456号第一层,,,,,2025-07-10 19:21:14,Yes
38,任丘市好兄弟体育器材配件有限公司,18031778778,825496952@QQ.com; 825496952@QQ.COM,‌：河北省任丘市津保路145号（津保路口西4公里庞家营村西）‌67,是张洪波,,,,2025-07-10 19:22:02,Yes
39,临沂丰达家具有限公司,15376067853,333@163.com; 333@qq.com,山东省临沂市罗庄区盛庄街道齐庄村206国道与金七路交汇,,,,,2025-07-10 19:22:49,Yes
40,上海美固坦体育设施有限公司,021-57107472,,上海市奉贤区南桥镇沪杭公路2278号,,,,,2025-07-10 19:23:36,Yes
41,智童时刻（厦门）科技有限公司,0592-7776800,1161543425@qq.com; 1161541545@qq.com,‌：厦门市同安区同集中路2002号人才创业园B楼103室‌12,,,,,2025-07-10 19:24:23,Yes
42,温州可轩童梦游乐设备有限公司,,65@qq.com,在多个来源中一致：浙江省温州市永嘉县桥头镇白垟工业区,‌：王朋（持股6,,,,2025-07-10 19:25:10,Yes
43,永嘉宝益游乐设备有限公司,13588917708,,浙江省温州市永嘉县桥下镇垟塆工业区八方阀门A幢一楼,邵吴达,,,,2025-07-10 19:25:57,Yes
44,永嘉耀星实业有限公司,13968985009,185165515@qq.com,永嘉耀星实业有限公司 聯絡資料,姓名在多个结果中,,,,2025-07-10 19:26:45,Yes
45,乐芒（广州）信息技术有限公司,13922135281,imango@imangokid.com; 13800000000@126.com,在广州市天河区棠安路146号1016室,‌：陈映城（20,,,,2025-07-10 19:27:32,Yes
46,永嘉县凯歌文教用品有限公司,,29@163.com; 385@163.com,部分资料显示详细地址为永嘉县桥下镇韩埠路161号‌5,叫戚海鹏,,,,2025-07-10 19:28:19,Yes
47,厦门秀逸居家居用品有限公司,0592-8066136,,在厦门湖里高新技术园；而‌2提供了0592-8066136这个电话和18606097076这个手机号,李雪岩的名字在‌,,,,2025-07-10 19:29:06,Yes
48,永嘉县桥下镇博艺游乐设备厂,18968789555,397081063@qq.com; 0@QQ.com,浙江省温州市永嘉县桥下镇后垟路19号,都是徐德晓,,,,2025-07-10 19:29:53,Yes
49,江苏沃格瑞特乐器制造有限公司,,,在淮安市涟水县经济开发区祥和路5号,罗玉莲,,,,2025-07-10 19:30:40,Yes
50,深圳市德域百纳科技有限公司,0755-88609419,info@moralregion.com,"""深圳市龙岗区坂田街道杨美社区长发中路3号云里智能园6栋五层504B""",,,,,2025-07-10 19:31:27,Yes
51,全沃智造文化（汕头）有限公司,0754-89315320,442473756@qq.com; 3104394577@qq.com,用户应该是在寻找联系方式来开展商务合作或咨询业务,,,,,2025-07-10 19:32:15,Yes
52,上海韵宝教育科技有限公司,021-52909773,,上海市长宁区中山西路999号1118室,,,,,2025-07-10 19:33:02,Yes
53,浙江麦多乐游乐设备有限公司,17706679589,787200163@qq.com; 1324040538@qq.com,‌：浙江省温州市永嘉县桥下镇小京岙村（永嘉县希幼乐玩具有限公司内）‌12,,,,,2025-07-10 19:33:49,Yes
54,温州克武游乐设施有限公司,13777777481,283670239@qq.com; 39@qq.com,多次提到为浙江省温州市永嘉县桥下镇徐岙社区（‌1、‌2、‌3、‌5、‌6等）,,,,,2025-07-10 19:34:36,Yes
55,永嘉县桥下镇贝童教玩具厂,0577-67490117,,在永嘉县桥下镇韩埠村韩埠南路23号,代表(综合‌12,,,,2025-07-10 19:35:24,Yes
56,温州市星耘木业有限公司,13968960311,61@qq.com,‌：浙江省温州市永嘉县桥下镇垟塆村（温州市安贝服饰有限公司内）‌13,联系方式；‌2补,,,,2025-07-10 19:36:11,Yes
57,河北童乐嘉教育科技有限公司,0316-5176821,e@lfyhyq.com; 550@qq.com,河北省廊坊市安次区高新技术产业园联东U谷廊坊国际企业港A区2号楼,,,,,2025-07-10 19:36:58,Yes
58,漳州建晟家具有限公司,0596-2186688,sales16@cn-schoolfurniture.com; 395094032@qq.com,"一个是新厂区地址""福建省漳州市龙文区石浦路5号""‌12",,,,,2025-07-10 19:37:45,Yes
59,东莞市澳莉莎家用纺织品有限公司,0769-89187888,834957853@qq.com,"信息最为统一：‌6、‌4、‌7等七个来源都指向""广东省东莞市厚街镇涌口衙前街3号""这个地址‌45",,,,,2025-07-10 19:38:32,Yes
60,上海豪派数码科技有限公司,021-69029279,2336418133@qq.com; bruce@magic-floor.cn,差异‌：嘉定区地址为实际业务场所（曹安路、澄浏公路）,,,,,2025-07-10 19:39:19,Yes
61,杭州新爵科技有限公司,13336077902,yingying.ou@sindrax.cn; sales@sindrax.cn,"在‌1、‌5、‌2中都确认为""滨江区聚业路26号金绣国际科技中心""",,,,,2025-07-10 19:40:07,Yes
62,云和县新桥玩具厂,18657811929,p8@58.com; 52082028@qq.com,在浙江省丽水市云和县白龙山街道创新大道26号6幢、8幢,是汤声云,,,,2025-07-10 19:40:54,Yes
63,金华起祥家居有限公司,0579-8350225,1044269672@qq.com,所有来源都指向浙江省金华市婺城区白龙桥镇临江工业区广泽路16号‌12,与核心人员‌,,,,2025-07-10 19:41:41,Yes
64,浙江创新游乐设备有限公司,,,"""浙江省温州市永嘉县桥下镇八里村(温州三翔金属微丝有限公司内第一栋)""",代表姓名、官方查,,,,2025-07-10 19:42:28,Yes
65,浙江百佳游乐设备股份有限公司,0577-66960698,160163246@qq.com,变更：从“浙江省桥下镇垟塆工业区万祥路868号”变更为“浙江省温州市永嘉县桥下镇小京岙工业区”,‌：‌3、‌8、,,,,2025-07-10 19:43:15,Yes
66,浙江易捷游乐设备有限公司,13732006086,ejplayground@aliyun.com,‌：浙江省温州市永嘉县桥下镇小京社区桥下镇新纵教玩具孵化园12幢101室‌12,‌：叶献达‌12,,,,2025-07-10 19:44:02,Yes
67,杭州小童星儿童艺术策划有限公司,0571-88083577,493526958@qq.com; 13819180888@126.com,工商备案信息‌2和天眼查数据‌3都指向中豪五福天地的地址更可靠,,,,,2025-07-10 19:44:49,Yes
68,广州华美教育科技有限公司,83629909,hmeducation@163.com,黄埔区保利鱼珠南三街5号（历史关联公司地址）‌67,为黄俊生‌1,,,,2025-07-10 19:45:37,Yes
69,宁波优优象教育科技有限公司,0574-83033129,cwb@mi-toys.com,‌：浙江省宁波市鄞州区天童南路535号704-2室‌12,‌：殷茜（202,,,,2025-07-10 19:46:24,Yes
70,上海振修实业有限公司,15800457014,,信息：逸仙路2816号（来自‌12）和陆翔路111弄（来自‌56）,信息需要特别注意,,,,2025-07-10 19:47:11,Yes
71,青岛太空宝贝教育科技有限公司,906397777,906397777@qq.com,在多个高可信度来源中一致指向即墨区通济街道石林一路227号创科城产业园‌12,‌：李彤（202,,,,2025-07-10 19:47:58,Yes
72,诸暨市圆松进出口有限公司,0575-87303661,34375049@qq.com,有两个版本：暨阳街道江北社区孙陈78号‌14和珍世堂产业园2号楼501-2‌37,杨少君,,,,2025-07-10 19:48:45,Yes
73,浙江华瓯游乐设备有限公司,0577-66960119,,爱企查和天眼查的企业档案‌23补充了注册地址和人员信息,‌：吴文雷‌23,,,,2025-07-10 19:49:32,Yes
74,温州奥赛洛教育科技有限公司,13792803633,13792803633@qq.com,在多个地方一致：浙江省温州市永嘉县桥下镇西岙村,,,,,2025-07-10 19:50:20,Yes
75,温州可可乐园科技有限公司,0577-67176777,472889474@qq.com,浙江省温州市永嘉县桥下镇京岸村西岸街30号（浙江中教数码科技有限公司内）‌56,为戚建梦,,,,2025-07-10 19:51:07,Yes
76,江苏科琪教学设备有限公司,0517-82345777,b2b-3391640850ecc27@zgny.com; 15896154105@qq.com,在多个政府招标文件‌12和工商信息‌45中一致确认为涟水县梁岔镇工业集中区,于航‌45,,,,2025-07-10 19:51:54,Yes
77,金莱恩教育有限公司,18601077220,18601077220@126.com,存在分歧：早期记录（2021年）显示为北京市朝阳区常通路3号院‌19,为艾纯强‌12,,,,2025-07-10 19:52:41,Yes
78,汕头市澄海区鸿成塑胶玩具厂,,,在汕头市澄海区凤翔街道昆美美新工业区20米路西八号,/经营者‌,,,,2025-07-10 19:53:28,Yes
79,清远市嘉佩乐教育设备有限公司,0763-3695139,466866044@qq.com,信息需要特别注意变更情况：早期资料显示在清远市清城区龙塘镇‌12,黄素愿外‌23,,,,2025-07-10 19:54:15,Yes
80,温州市一力游乐设备有限公司,13656773088,3346799942@qq.com; vip@yiliplay.com,‌：所有高可信度来源一致指向浙江省温州市永嘉县桥下镇小京岙村‌13,,,,,2025-07-10 19:55:02,Yes
81,广州市美帮祈富文仪有限公司,020-37400003,mbcw2008@163.com,为广州市白云区五龙岗四街125号A幢第二、五、六层‌18,,,,,2025-07-10 19:55:50,Yes
82,康龙世界游乐有限公司,0577-66962222,kanglong@kanglong-toy.com; 13906670667@qq.com; 88019377@qq.com,,赵义,,,,2025-07-10 19:56:37,Yes
83,温州市汉克游乐设备有限公司,0577-66978888,hankplay@126.com; cchuishi@126.com,方面‌12一致指向浙江省温州市永嘉县桥下镇垟塆工业区,,,,,2025-07-10 19:57:24,Yes
84,厦门优客居品牌管理有限公司,13859915170,234843525@qq.com; 53@qq.com; 25@qq.com,福建省厦门市湖里区东渡路258号7A单元3区,,,,,2025-07-10 19:58:11,Yes
85,浙江哈灵实业有限公司,13305887758,359209079@qq.com; 79@qq.com,、经理陈哈利、手机13305887758、其他手机号码15925711336,,,,,2025-07-10 19:58:58,Yes
86,东莞市宝城家具有限公司,0769-89160918,138292160322@qq.com; 1169700654@qq.com,东莞市寮步镇凫山长富工业区祥新街60号,张久智的手机号1,,,,2025-07-10 19:59:46,Yes
87,浙江飞友康体设备有限公司,400-0000-758,2880609966@qq.com,？不過這兩個地址都在鹿城區輕工產業園區,,,,,2025-07-10 20:00:33,Yes
88,绍兴给力体育休闲用品有限公司,0575-88006960,,在绍兴袍江越东南路23号2幢4楼,‌：毛马兴‌47,,,,2025-07-10 20:01:20,Yes
89,奇特乐集团有限公司,+86-0755-15919488206,info@qitele.com,"在多个来源（‌5、‌4、‌1）中均指向""浙江省永嘉县桥下镇小京岙""",,,,,2025-07-10 20:02:07,Yes
90,云和县利源工艺品有限公司,13754295277,13754295277@qq.com,信息在多个结果中保持高度一致：浙江省丽水市云和县白龙山街道杨柳河路95号第二排第一幢‌14,‌汪維剛‌（持股,,,,2025-07-10 20:02:54,Yes
91,汕头市柯乐玩具有限公司,0754-8580,879@139.com,"‌1、‌2、‌3、‌4四份资料都指向""汕头市龙湖区外砂镇金林路东李厝工业区懿胜综合楼东四楼""",张幼叶信息,,,,2025-07-10 20:03:41,Yes
92,汕头市捷高贸易有限公司,86-754-83231897,2627169353@qq.com,汕头市澄海区广益街道玉潭路与同益路交界处星城豪园4幢一层01号,,,,,2025-07-10 20:04:29,Yes
93,汕头市澄海区奕峰玩具厂,13715873777,,是汕头市澄海区广益街道华富宁川北路,,,,,2025-07-10 20:05:16,Yes
